                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2407,                 1.0122,                 1.2766,                0.89511,                 0.7235,                0.86149,                0.52499,                 1.4191,                 1.0025,                 1.4416,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2048,                0.98679,                   1.26,                0.92927,                0.72656,                0.85245,                0.52843,                 1.3665,                 1.0178,                 1.4006,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1499,                0.91185,                 1.2087,                0.96607,                0.69585,                 0.8548,                0.53344,                 1.3661,                0.98922,                 1.4058,               0.001307,               0.001307,               0.001307
                     37,                 1.1796,                 0.9277,                 1.2375,                0.89683,                0.77419,                0.87007,                0.54586,                 1.3707,                0.91703,                 1.4119,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1989,                0.95374,                 1.2431,                0.87691,                0.79724,                0.88547,                0.52962,                  1.407,                0.99104,                 1.4608,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1931,                0.90884,                 1.2296,                0.90243,                0.78802,                0.88765,                0.54202,                 1.3621,                 1.0089,                 1.3981,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1725,                0.92777,                 1.2371,                0.93993,                0.72108,                0.87296,                0.53853,                 1.3359,                0.95057,                 1.3861,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1505,                0.90071,                 1.2171,                0.92993,                0.78802,                0.89856,                0.55545,                 1.3274,                 0.9158,                 1.3973,               0.001208,               0.001208,               0.001208
                     42,                 1.1625,                0.87949,                 1.2103,                0.90106,                0.79724,                0.89493,                0.56523,                 1.3225,                0.88571,                 1.3693,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1679,                0.90177,                   1.22,                0.90128,                0.77419,                0.87557,                0.54808,                   1.37,                 1.0058,                 1.4165,              0.0011684,              0.0011684,              0.0011684
